,1,2,3,4,5,6,7,8,9,Salary,Projection
306,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Jalen Hurts,Washington,44200,113.32
307,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Marvin Jones,Brandin Cooks,Deonte Harris,Daniel Jones,Washington,44100,113.14999999999999
54,Jared Cook,D'Andre Swift,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Jacksonville,44400,112.97999999999999
55,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Mac Jones,Washington,44300,112.80000000000001
56,Jared Cook,D'Andre Swift,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44100,112.8
175,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Teddy Bridgewater,Washington,44600,112.67999999999999
308,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Deonte Harris,Daniel Jones,Washington,43800,112.52
57,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,44000,112.4
176,Jared Cook,Nick Chubb,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44200,112.39
177,Jared Cook,D'Andre Swift,Chuba Hubbard,Keenan Allen,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44400,112.36999999999999
309,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Daniel Jones,Washington,44000,112.25
58,Jared Cook,D'Andre Swift,Leonard Fournette,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44200,112.14
310,Dallas Goedert,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Jalen Hurts,Washington,43900,111.91
178,Jared Cook,D'Andre Swift,Nick Chubb,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44300,111.83
179,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,44100,111.6
311,Jared Cook,Gerald Everett,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Daniel Jones,Washington,43700,111.44
59,Jared Cook,Nick Chubb,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43800,111.39
312,Dallas Goedert,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Deonte Harris,Daniel Jones,Washington,43500,111.11
313,Dallas Goedert,Jared Cook,D'Andre Swift,Nick Chubb,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43400,110.89
60,Jared Cook,D'Andre Swift,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Jacksonville,43900,110.82999999999998
61,Jared Cook,D'Andre Swift,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43600,110.64999999999999
180,Jared Cook,D'Andre Swift,Chuba Hubbard,Marvin Jones,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,43800,110.61999999999999
314,Dallas Goedert,Jared Cook,D'Andre Swift,Nick Chubb,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,43600,110.61
