,1,2,3,4,5,6,7,8,9,Salary,Projection
141,Matt LaCosse,Phillip Lindsay,James White,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,43000,97.9
142,Matt LaCosse,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,43100,97.70000000000002
143,Jared Cook,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,43300,97.7
465,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,43000,97.30000000000001
466,Jared Cook,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,43100,97.0
298,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,43400,96.9
467,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Nick Mullens,Oakland Raiders,43300,96.70000000000002
299,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Robert Woods,Nick Mullens,Oakland Raiders,43600,96.6
468,Jared Cook,Michael Roberts,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,43200,96.5
300,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,43200,96.1
301,Jared Cook,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Pierre Garcon,Seth Roberts,Nick Mullens,Oakland Raiders,43700,96.0
302,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Case Keenum,Oakland Raiders,43500,95.5
144,Matt LaCosse,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,42800,95.1
303,Gerald Everett,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,43300,94.70000000000002
469,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,42700,94.7
145,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42600,94.30000000000001
470,Jared Cook,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42500,93.9
304,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42800,93.80000000000001
146,Matt LaCosse,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Case Keenum,Oakland Raiders,42900,93.69999999999999
471,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Case Keenum,Oakland Raiders,42800,93.30000000000001
305,Michael Roberts,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,43000,93.0
147,Gerald Everett,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42700,92.9
472,Jared Cook,Gerald Everett,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42600,92.5
473,Jeff Heuerman,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,42400,92.20000000000002
306,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,42900,92.10000000000001
148,Matt LaCosse,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42200,92.0
474,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42100,91.6
307,Michael Roberts,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,43100,91.30000000000001
149,Matt LaCosse,Kyle Juszczyk,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,42500,91.20000000000002
150,Michael Roberts,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42400,91.19999999999999
475,Jared Cook,Michael Roberts,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,42300,90.80000000000001
