,1,2,3,4,5,6,7,8,9,Salary,Projection
204,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Buffalo Bills,41900,72.4
203,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Buffalo Bills,41900,72.4
452,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,41600,72.0
688,Darren Fells,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Buffalo Bills,41400,71.9
689,Darren Fells,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Buffalo Bills,41400,71.9
205,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Isaiah Crowell,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41800,71.5
453,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41700,71.5
454,Antonio Gates,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41700,71.5
206,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Isaiah Crowell,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41800,71.5
207,Nick Boyle,Duke Johnson Jr.,Jacquizz Rodgers,Devontae Booker,Tre'Quan Smith,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41700,71.0
455,Nick Boyle,Duke Johnson Jr.,Devontae Booker,Maurice Harris,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41500,70.4
