,1,2,3,4,5,6,7,8,9,Salary,Projection
260,Nick Boyle,Mike Davis,Elijah McGuire,Frank Gore,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Buccaneers,27800,62.199999999999996
259,Nick Boyle,Mike Davis,Elijah McGuire,Frank Gore,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,27800,62.199999999999996
803,Nick Boyle,Jeff Heuerman,Mike Davis,Elijah McGuire,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27000,61.9
802,Nick Boyle,Jeff Heuerman,Mike Davis,Elijah McGuire,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,27000,61.9
525,Nick Boyle,Mike Davis,Elijah McGuire,Laquon Treadwell,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Buccaneers,27600,60.7
805,Nick Boyle,Jeff Heuerman,Mike Davis,Elijah McGuire,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Buccaneers,26900,59.7
804,Nick Boyle,Jeff Heuerman,Mike Davis,Elijah McGuire,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,26900,59.7
261,Nick Boyle,Mike Davis,Elijah McGuire,Frank Gore,Chris Conley,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,27700,59.5
526,Nick Boyle,Mike Davis,Elijah McGuire,Laquon Treadwell,Chris Conley,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,27500,58.00000000000001
527,Nick Boyle,Mike Davis,Elijah McGuire,Chris Conley,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Buccaneers,27500,58.00000000000001
806,Nick Boyle,Jeff Heuerman,Mike Davis,Elijah McGuire,Chris Conley,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,26800,57.00000000000001
262,Nick Boyle,Mike Davis,Marcus Murphy,Elijah McGuire,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,27600,56.9
263,Nick Boyle,Mike Davis,Marcus Murphy,Elijah McGuire,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Buccaneers,27600,56.9
264,Nick Boyle,Mike Davis,Marcus Murphy,Elijah McGuire,Chris Conley,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,27500,54.2
529,Nick Boyle,Marcus Murphy,Elijah McGuire,Chris Conley,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Buccaneers,27400,53.900000000000006
528,Nick Boyle,Marcus Murphy,Elijah McGuire,Laquon Treadwell,Chris Conley,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,27400,53.900000000000006
807,Nick Boyle,Jeff Heuerman,Marcus Murphy,Elijah McGuire,Chris Conley,Tim Patrick,Andre Holmes,Nathan Peterman,Buccaneers,26700,52.9
