Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295+AC0-92904,QB,Rocky,Rocky Lombardi,Lombardi,,0,6000,CIN+AEA-CAR,CIN,CAR,,,,,,QB
107295+AC0-86775,QB,Jacob,Jacob Sirmon,Sirmon,,0,6000,CLE+AEA-LV,CLE,LV,,,,,,QB
107295+AC0-152316,QB,Drake,Drake Maye,Maye,2.0799999237,1,6000,NE+AEA-SF,NE,SF,,,,,,QB
107295+AC0-92937,QB,Jordan,Jordan Travis,Travis,,0,6000,DEN+AEA-NYJ,NYJ,DEN,IR,Ankle,,,,QB
107295+AC0-86793,QB,Jake,Jake Haener,Haener,+AC0-0.150000006,2,6000,NO+AEA-ATL,NO,ATL,,,,,,QB
107295+AC0-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,6000,BUF+AEA-BAL,BAL,BUF,,,,,,QB
107295+AC0-119606,QB,Bryce,Bryce Young,Young,7.3000001907,2,6000,CIN+AEA-CAR,CAR,CIN,,,,,,QB
107295+AC0-90981,QB,Adrian,Adrian Martinez,Martinez,,0,6000,DEN+AEA-NYJ,NYJ,DEN,,,,,,QB
107295+AC0-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,CLE+AEA-LV,LV,CLE,,,,,,QB
107295+AC0-56192,QB,John,John Wolford,Wolford,0,1,6000,PHI+AEA-TB,TB,PHI,,,,,,QB
107295+AC0-29605,QB,Matt,Matt Barkley,Barkley,+AC0-0.3000000119,1,6000,JAC+AEA-HOU,JAC,HOU,,,,,,QB
107295+AC0-93103,QB,E.J.,E.J. Perry,Perry,,0,6000,JAC+AEA-HOU,JAC,HOU,,,,,,QB
107295+AC0-111557,QB,Spencer,Spencer Rattler,Rattler,,0,6000,NO+AEA-ATL,NO,ATL,,,,,,QB
107295+AC0-56286,QB,Trace,Trace McSorley,McSorley,,0,6000,WAS+AEA-ARI,WAS,ARI,,,,,,QB
107295+AC0-152575,QB,J.J.,J.J. McCarthy,McCarthy,,0,6000,MIN+AEA-GB,MIN,GB,IR,Knee +AC0- meniscus,,,,QB
107295+AC0-89147,QB,John,John Paddock,Paddock,,0,6000,NO+AEA-ATL,ATL,NO,,,,,,QB
107295+AC0-152664,RB,Bucky,Bucky Irving,Irving,6.9000002543,3,6000,PHI+AEA-TB,TB,PHI,Q,Hamstring,,,,RB/FLEX
107295+AC0-52342,QB,Will,Will Grier,Grier,0,2,6000,PHI+AEA-TB,PHI,TB,,,,,,QB
107295+AC0-169087,QB,Austin,Austin Reed,Reed,,0,6000,LAR+AEA-CHI,CHI,LAR,,,,,,QB
107295+AC0-93382,QB,Aidan,Aidan O'Connell,O'Connell,7.2800002098,1,6000,CLE+AEA-LV,LV,CLE,,,,,,QB
107295+AC0-52436,TE,Mark,Mark Andrews,Andrews,3.1666666667,3,6000,BUF+AEA-BAL,BAL,BUF,,,,,,TE/FLEX
107295+AC0-54507,QB,Alex,Alex McGough,McGough,,0,6000,MIN+AEA-GB,GB,MIN,Q,Undisclosed,,,,QB
107295+AC0-93428,QB,Jack,Jack Plummer,Plummer,,0,6000,CIN+AEA-CAR,CAR,CIN,,,,,,QB
107295+AC0-91390,QB,Joe,Joe Milton III,Milton III,,0,6000,NE+AEA-SF,NE,SF,,,,,,QB
107295+AC0-185640,QB,Dresser,Dresser Winn,Winn,0,1,6000,LAR+AEA-CHI,LAR,CHI,,,,,,QB
107295+AC0-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,9.1374998093,8,6000,LAR+AEA-CHI,LAR,CHI,,,,,,QB
