Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-45565,QB,Taysom,Taysom Hill,Hill,6.07599983215332,5,6100,NO@SEA,NO,SEA,Q,Concussion,,,,QB
65568-64051,QB,Drew,Drew Lock,Lock,3.5199999809265137,1,6100,DEN@CLE,DEN,CLE,,,,,,QB
65568-6714,QB,Joe,Joe Flacco,Flacco,11.55199966430664,5,6100,PHI@LV,PHI,LV,,,,,,QB
65568-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,7.175000190734863,4,6100,DEN@CLE,CLE,DEN,Q,Shoulder - ac joint,,,,WR/FLEX
65568-29358,QB,Marcus,Marcus Mariota,Mariota,3.0999999046325684,1,6100,PHI@LV,LV,PHI,,,,,,QB
65568-27441,RB,Damien,Damien Williams,Williams,9.199999809265137,4,6100,CHI@TB,CHI,TB,IR,Illness,,,,RB/FLEX
65568-25410,QB,Mike,Mike Glennon,Glennon,10.039999961853027,1,6100,CAR@NYG,NYG,CAR,,,,,,QB
65568-56192,QB,John,John Wolford,Wolford,-1.100000023841858,1,6100,DET@LAR,LAR,DET,,,,,,QB
65568-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,0.7200000286102295,1,6100,WAS@GB,WAS,GB,IR,Hip,,,,QB
65568-89981,WR,Tee,Tee Higgins,Higgins,10.100000381469727,4,6100,CIN@BAL,CIN,BAL,,,,,,WR/FLEX
65568-71705,TE,Noah,Noah Fant,Fant,10.049999872843424,6,6000,DEN@CLE,DEN,CLE,,,,,,TE/FLEX
65568-86052,WR,Kadarius,Kadarius Toney,Toney,8.8,5,6000,CAR@NYG,NYG,CAR,D,Ankle,,,,WR/FLEX
65568-71798,QB,Anthony,Anthony Gordon,Gordon,0,1,6000,KC@TEN,KC,TEN,,,,,,QB
65568-39034,QB,Kurt,Kurt Benkert,Benkert,0,1,6000,WAS@GB,GB,WAS,,,,,,QB
65568-63611,QB,Kyle,Kyle Shurmur,Shurmur,,,6000,WAS@GB,WAS,GB,,,,,,QB
65568-45229,RB,Kareem,Kareem Hunt,Hunt,15.699999491373697,6,6000,DEN@CLE,CLE,DEN,IR,Calf,,,,RB/FLEX
65568-57537,QB,DeShone,DeShone Kizer,Kizer,,,6000,KC@TEN,TEN,KC,,,,,,QB
65568-69833,QB,Shane,Shane Buechele,Buechele,,,6000,KC@TEN,KC,TEN,,,,,,QB
65568-45259,QB,Logan,Logan Woodside,Woodside,0.2559999942779541,5,6000,KC@TEN,TEN,KC,,,,,,QB
