Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Devin Gray (19152235),Devin Gray,19152235,CPT,300,BAL@LV 09/13/2021 08:15PM ET,BAL,0
WR,Miles Boykin (19152159),Miles Boykin,19152159,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,4.66
RB,Jalen Richard (19152160),Jalen Richard,19152160,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,3.93
RB,Gus Edwards (19152161),Gus Edwards,19152161,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,7.79
RB,Justice Hill (19152162),Justice Hill,19152162,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,1.08
RB,J.K. Dobbins (19152163),J.K. Dobbins,19152163,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,11.62
TE,Matt Bushman (19152164),Matt Bushman,19152164,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,0
WR,Dillon Stoner (19152165),Dillon Stoner,19152165,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,0
WR,Binjimen Victor (19152166),Binjimen Victor,19152166,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
RB,Trey Ragas (19152167),Trey Ragas,19152167,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,0
RB,B.J. Emmons (19152168),B.J. Emmons,19152168,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,0
WR,DJ Turner (19152169),DJ Turner,19152169,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,0
TE,Tony Poljan (19152170),Tony Poljan,19152170,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
WR,James Proche (19152171),James Proche,19152171,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0.18
RB,Patrick Ricard (19152172),Patrick Ricard,19152172,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,2.37
RB,Alec Ingold (19152173),Alec Ingold,19152173,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,2.45
WR,Rashod Bateman (19152174),Rashod Bateman,19152174,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
WR,Tylan Wallace (19152175),Tylan Wallace,19152175,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
TE,Nick Bowers (19152176),Nick Bowers,19152176,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,0
TE,Josh Oliver (19152177),Josh Oliver,19152177,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
WR,Jaylon Moore (19152178),Jaylon Moore,19152178,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
WR,David Moore (19152179),David Moore,19152179,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,LV,7.08
WR,Devin Gray (19152180),Devin Gray,19152180,FLEX,200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
