,0,1,2,3,4,5,6,7,8
126.2,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
126.2,Sam Bradford,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Rob Gronkowski
126.2,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Chris Hogan,Rob Gronkowski
126.1,Case Keenum,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,James White,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
126.1,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,George Kittle,Rob Gronkowski
126.1,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Golden Tate,George Kittle
126.0,Tom Brady,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Rob Gronkowski
126.0,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Golden Tate,Austin Seferian-Jenkins
126.0,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
125.9,Jimmy Garoppolo,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Rob Gronkowski
125.9,Blake Bortles,New England Patriots,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Rob Gronkowski
125.9,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,George Kittle,Rob Gronkowski
125.8,Tom Brady,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Austin Seferian-Jenkins,Rob Gronkowski
125.8,Jared Goff,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Chris Hogan,Kenny Golladay,Rob Gronkowski
125.8,Blake Bortles,Detroit Lions,Royce Freeman,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Rob Gronkowski
125.7,Blake Bortles,New England Patriots,Royce Freeman,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Rob Gronkowski
125.7,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Amari Cooper,Ricky Seals-Jones,Rob Gronkowski
125.7,Tom Brady,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Chris Hogan,Kenny Golladay,Rob Gronkowski
125.6,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,Austin Seferian-Jenkins,Rob Gronkowski
125.6,Blake Bortles,Detroit Lions,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Golden Tate,Rob Gronkowski
125.6,Case Keenum,Detroit Lions,T.J. Yeldon,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Pierre Garcon,Golden Tate,Rob Gronkowski
125.5,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Austin Seferian-Jenkins,Rob Gronkowski
125.5,Matthew Stafford,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Golden Tate,George Kittle
125.5,Case Keenum,San Francisco 49ers,T.J. Yeldon,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
125.4,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Golden Tate,Ricky Seals-Jones,Rob Gronkowski
125.4,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Corey Grant,Larry Fitzgerald,Pierre Garcon,Amari Cooper,Rob Gronkowski
125.4,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Robert Woods,Chris Hogan,Kenny Golladay,Rob Gronkowski
125.3,Blake Bortles,San Francisco 49ers,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
125.3,Tom Brady,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Golden Tate,Ricky Seals-Jones
125.3,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Ricky Seals-Jones,Rob Gronkowski
125.2,Blake Bortles,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Rob Gronkowski
125.2,Matthew Stafford,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Golden Tate,Ricky Seals-Jones
125.2,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,Jared Cook,Rob Gronkowski
125.1,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Austin Seferian-Jenkins,Rob Gronkowski
125.1,Blake Bortles,Arizona Cardinals,T.J. Yeldon,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Amari Cooper,Rob Gronkowski
125.1,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Golden Tate,Demaryius Thomas,George Kittle
125.0,Case Keenum,Detroit Lions,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Robert Woods,Rob Gronkowski
125.0,Blake Bortles,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
125.0,Case Keenum,Denver Broncos,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Amari Cooper,George Kittle,Rob Gronkowski
124.9,Case Keenum,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
124.9,Case Keenum,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Rob Gronkowski
124.9,Blake Bortles,San Francisco 49ers,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
124.8,Matthew Stafford,Detroit Lions,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Robert Woods,Demaryius Thomas,George Kittle,Rob Gronkowski
124.8,Jimmy Garoppolo,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Rob Gronkowski
124.8,Tom Brady,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Golden Tate,Ricky Seals-Jones
124.7,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Phillip Lindsay,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
124.7,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Chris Hogan,Demaryius Thomas,Ricky Seals-Jones,Rob Gronkowski
124.7,Jimmy Garoppolo,Los Angeles Rams,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Golden Tate,Kenny Golladay,Rob Gronkowski
124.6,Case Keenum,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Chris Hogan,Demaryius Thomas,George Kittle,Rob Gronkowski
124.6,Blake Bortles,New England Patriots,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Rob Gronkowski
124.6,Case Keenum,Los Angeles Rams,Royce Freeman,Todd Gurley II,James White,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
124.5,Tom Brady,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Austin Seferian-Jenkins,Rob Gronkowski
124.5,Case Keenum,Jacksonville Jaguars,T.J. Yeldon,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Golden Tate,Demaryius Thomas,Rob Gronkowski
124.5,Case Keenum,Denver Broncos,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
124.4,Jimmy Garoppolo,Los Angeles Rams,Todd Gurley II,Matt Breida,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,George Kittle,Rob Gronkowski
124.4,Tom Brady,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,George Kittle
124.4,Blake Bortles,Los Angeles Rams,Todd Gurley II,Phillip Lindsay,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
124.3,Blake Bortles,New England Patriots,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,George Kittle,Rob Gronkowski
124.3,Sam Bradford,San Francisco 49ers,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Rob Gronkowski
124.3,Tom Brady,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Chris Hogan,Demaryius Thomas,Ricky Seals-Jones
124.2,Case Keenum,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Golden Tate,Kenny Golladay,George Kittle,Rob Gronkowski
124.2,Matthew Stafford,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Ricky Seals-Jones
124.2,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,Golden Tate,Ricky Seals-Jones
124.1,Jimmy Garoppolo,Detroit Lions,T.J. Yeldon,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Golden Tate,Rob Gronkowski
124.1,Case Keenum,Detroit Lions,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
124.1,Matthew Stafford,New England Patriots,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
124.0,Case Keenum,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,George Kittle,Rob Gronkowski
124.0,Tom Brady,Detroit Lions,T.J. Yeldon,Alfred Morris,Todd Gurley II,Pierre Garcon,Chris Hogan,Kenny Golladay,Rob Gronkowski
124.0,Matthew Stafford,New England Patriots,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,George Kittle
123.9,Jared Goff,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Golden Tate,Kenny Golladay,Ricky Seals-Jones,Rob Gronkowski
123.9,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Rob Gronkowski
123.9,Blake Bortles,Detroit Lions,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
