Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21514-45723,WR,Crockett,Crockett Gillmore,Gillmore,3.420000076,5,6000,BAL@MIN,BAL,MIN,IR,Knee
21514-80546,WR,Dan,Dan Arnold,Arnold,0,0,6000,NO@GB,NO,GB,IR,Undisclosed
21514-47780,WR,Taywan,Taywan Taylor,Taylor,4.23333327,6,6000,TEN@CLE,TEN,CLE,,
21514-62127,WR,Cole,Cole Hikutini,Hikutini,0,0,6000,DAL@SF,SF,DAL,,
21514-7856,WR,Matthew,Matthew Slater,Slater,-0.375,4,6000,ATL@NE,NE,ATL,,
21514-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,6.450000127,6,6000,CIN@PIT,PIT,CIN,,
21514-22198,WR,Brittan,Brittan Golden,Golden,3,2,6000,ARI@LAR,ARI,LAR,,
21514-28346,WR,Maxx,Maxx Williams,Williams,1.466666698,3,6000,BAL@MIN,BAL,MIN,Q,Ankle
21514-7870,WR,Benjamin,Benjamin Watson,Watson,5.933333079,6,6000,BAL@MIN,BAL,MIN,Q,Knee
21514-70335,WR,Seth,Seth DeValve,DeValve,4.950000127,6,6000,TEN@CLE,CLE,TEN,,
21514-39615,WR,Brandon,Brandon Williams,Williams,2.650000095,4,6000,JAC@IND,IND,JAC,,
21514-52931,RB,Elijhaa,Elijhaa Penny,Penny,6.E-01,2,6000,ARI@LAR,ARI,LAR,,
21514-70342,WR,Temarrick,Temarrick Hemingway,Hemingway,0,0,6000,ARI@LAR,LAR,ARI,IR,Lower leg
21514-27338,RB,Rex,Rex Burkhead,Burkhead,7.349999905,2,6000,ATL@NE,NE,ATL,Q,Ribs
21514-22220,WR,Sean,Sean McGrath,McGrath,1.5,1,6000,DEN@LAC,LAC,DEN,,
21514-30412,WR,Tavarres,Tavarres King,King,1.200000048,1,6000,SEA@NYG,NYG,SEA,,
21514-29390,WR,Evan,Evan Baylis,Baylis,0,0,6000,JAC@IND,IND,JAC,,
21514-33488,WR,Troy,Troy Niklas,Niklas,3.150000095,4,6000,ARI@LAR,ARI,LAR,,
21514-40665,RB,Matthew,Matthew Dayes,Dayes,1.399999976,2,6000,TEN@CLE,CLE,TEN,,
21514-30428,WR,Malcolm,Malcolm Mitchell,Mitchell,6.674999873,12,6000,ATL@NE,NE,ATL,IR,Knee
21514-40669,WR,Tyler,Tyler Boyd,Boyd,1.825000048,4,6000,CIN@PIT,CIN,PIT,D,Knee
21514-45791,WR,Rashard,Rashard Higgins,Higgins,3.779999924,5,6000,TEN@CLE,CLE,TEN,,
21514-38624,RB,T.J.,T.J. Logan,Logan,0,0,6000,ARI@LAR,ARI,LAR,IR,Wrist
21514-70372,WR,Chester,Chester Rogers,Rogers,2.628571374,14,6000,JAC@IND,IND,JAC,,
21514-26343,WR,Corey,Corey Fuller,Fuller,0,0,6000,NO@GB,NO,GB,IR,Undisclosed
21514-41703,WR,R.J.,R.J. Shelton,Shelton,0,0,6000,BAL@MIN,MIN,BAL,IR,Foot
21514-38634,WR,Ryan,Ryan Switzer,Switzer,-2.8E-01,5,6000,DAL@SF,DAL,SF,,
21514-44784,RB,Darius,Darius Jackson,Jackson,0,0,6000,TEN@CLE,CLE,TEN,IR,Knee
21514-22258,RB,Travaris,Travaris Cadet,Cadet,4.400000095,1,6000,NYJ@MIA,NYJ,MIA,,
21514-26355,WR,Logan,Logan Thomas,Thomas,8.E-01,1,6000,TB@BUF,BUF,TB,,
21514-54007,WR,Jacob,Jacob Hollister,Hollister,8.5E-01,4,6000,ATL@NE,NE,ATL,,
21514-54010,RB,Brian,Brian Hill,Hill,0,0,6000,ATL@NE,ATL,NE,,
21514-33531,WR,Ben,Ben Koyack,Koyack,1.299999952,2,6000,JAC@IND,JAC,IND,,
21514-45821,WR,Isaiah,Isaiah Burse,Burse,0,8,6000,DEN@LAC,LAC,DEN,IR,Concussion
21514-47870,WR,Tyler,Tyler Higbee,Higbee,3.683333397,6,6000,ARI@LAR,LAR,ARI,,
21514-27403,WR,Blake,Blake Bell,Bell,8.5E-01,2,6000,BAL@MIN,MIN,BAL,,
21514-22288,WR,Cole,Cole Beasley,Beasley,6.079999924,5,6000,DAL@SF,DAL,SF,,
21514-26384,RB,Trey,Trey Edmunds,Edmunds,0,2,6000,NO@GB,NO,GB,,
21514-15121,WR,Chris,Chris Matthews,Matthews,1.333333333,3,6000,BAL@MIN,BAL,MIN,Q,Groin
21514-27411,RB,Aaron,Aaron Ripkowski,Ripkowski,7.25E-01,4,6000,NO@GB,GB,NO,,
21514-22292,RB,Lance,Lance Dunbar,Dunbar,2.663636294,11,6000,ARI@LAR,LAR,ARI,NA,Knee
21514-28437,RB,Danny,Danny Vitale,Vitale,1.200000048,1,6000,TEN@CLE,CLE,TEN,,
21514-12055,WR,Logan,Logan Paulsen,Paulsen,0,1,6000,DAL@SF,SF,DAL,,
21514-70422,WR,Kalif,Kalif Raymond,Raymond,-1,2,6000,SEA@NYG,NYG,SEA,,
21514-7965,WR,Antonio,Antonio Gates,Gates,3.916666667,6,6000,DEN@LAC,LAC,DEN,,
21514-22308,RB,Joe,Joe Banyard,Banyard,7.E-01,1,6000,TB@BUF,BUF,TB,,
21514-31524,WR,Cody,Cody Core,Core,0,1,6000,CIN@PIT,CIN,PIT,,
21514-29477,WR,Connor,Connor Hamlett,Hamlett,8.199999809,1,6000,DAL@SF,DAL,SF,,
21514-22317,WR,Brenton,Brenton Bersin,Bersin,1.350000024,2,6000,CAR@CHI,CAR,CHI,,
21514-10030,WR,Harry,Harry Douglas,Douglas,4.071428571,7,6000,TEN@CLE,TEN,CLE,IR,Knee
21514-28463,WR,Austin,Austin Carr,Carr,0,0,6000,NO@GB,NO,GB,,
21514-27441,RB,Damien,Damien Williams,Williams,2.200000048,4,6000,NYJ@MIA,MIA,NYJ,,
21514-43826,WR,Tommylee,Tommylee Lewis,Lewis,3.174999952,4,6000,NO@GB,NO,GB,,
21514-29500,WR,Markus,Markus Wheaton,Wheaton,4.66667E-01,3,6000,CAR@CHI,CHI,CAR,O,Groin
21514-22336,WR,Josh,Josh Bellamy,Bellamy,5.46666654,3,6000,CAR@CHI,CHI,CAR,,
21514-27457,WR,Kenny,Kenny Stills,Stills,7.059999847,5,6000,NYJ@MIA,MIA,NYJ,,
21514-38722,WR,Cethan,Cethan Carter,Carter,0,1,6000,CIN@PIT,CIN,PIT,,
21514-28487,WR,Jeff,Jeff Heuerman,Heuerman,4.633333206,3,6000,DEN@LAC,DEN,LAC,,
21514-31561,WR,Donte,Donte Moncrief,Moncrief,6.349999746,6,6000,JAC@IND,IND,JAC,,
21514-41806,WR,Laquon,Laquon Treadwell,Treadwell,2.660000038,5,6000,BAL@MIN,MIN,BAL,,
21514-26458,WR,Tavon,Tavon Austin,Austin,2.533333302,6,6000,ARI@LAR,LAR,ARI,,
21514-38753,WR,Jake,Jake Butt,Butt,0,0,6000,DEN@LAC,DEN,LAC,O,Knee - acl
21514-29540,RB,Terron,Terron Ward,Ward,3.340000153,5,6000,ATL@NE,ATL,NE,,
21514-70501,RB,C.J.,C.J. Ham,Ham,3.133333206,3,6000,BAL@MIN,MIN,BAL,,
21514-53097,WR,Josh,Josh Reynolds,Reynolds,3.299999952,1,6000,ARI@LAR,LAR,ARI,,
21514-39793,WR,George,George Kittle,Kittle,6.28333346,6,6000,DAL@SF,SF,DAL,,
21514-8050,WR,Zach,Zach Miller,Miller,6.950000127,6,6000,CAR@CHI,CHI,CAR,,
21514-32632,WR,Bradley,Bradley Marquez,Marquez,7.71429E-01,7,6000,ARI@LAR,LAR,ARI,IR,Knee
21514-28545,RB,Rod,Rod Smith,Smith,1.549999952,2,6000,DAL@SF,DAL,SF,,
21514-38790,WR,Jalin,Jalin Marshall,Marshall,3.120000076,10,6000,NYJ@MIA,NYJ,MIA,,
21514-39814,WR,Jordan,Jordan Leggett,Leggett,0,0,6000,NYJ@MIA,NYJ,MIA,,
21514-40845,WR,Hunter,Hunter Henry,Henry,10.82499981,4,6000,DEN@LAC,LAC,DEN,,
21514-29583,WR,Randall,Randall Telfer,Telfer,1.700000048,2,6000,TEN@CLE,CLE,TEN,,
21514-39829,WR,Mike,Mike Williams,Williams,2,1,6000,DEN@LAC,LAC,DEN,,
21514-29592,WR,Xavier,Xavier Grimble,Grimble,3.662499905,8,6000,CIN@PIT,PIT,CIN,,
21514-40857,RB,Peyton,Peyton Barber,Barber,2.450000048,2,6000,TB@BUF,TB,BUF,,
21514-28570,WR,Nick,Nick Vannett,Vannett,1.399999976,2,6000,SEA@NYG,SEA,NYG,,
21514-33691,RB,Orleans,Orleans Darkwa,Darkwa,7.059999847,5,6000,SEA@NYG,NYG,SEA,,
21514-14240,WR,Lance,Lance Kendricks,Kendricks,4.599999905,4,6000,NO@GB,GB,NO,,
21514-39859,WR,Jack,Jack Doyle,Doyle,7.059999847,5,6000,JAC@IND,IND,JAC,,
21514-29624,RB,Tre,Tre Madden,Madden,0,0,6000,SEA@NYG,SEA,NYG,,
21514-56248,WR,Noah,Noah Brown,Brown,1.799999952,1,6000,DAL@SF,DAL,SF,,
21514-30652,WR,Tanner,Tanner McEvoy,McEvoy,-3.33333E-01,3,6000,SEA@NYG,SEA,NYG,,
21514-30654,WR,Jerell,Jerell Adams,Adams,2.333333333,3,6000,SEA@NYG,NYG,SEA,,
21514-32703,WR,Jakeem,Jakeem Grant,Grant,0.6,5,6000,NYJ@MIA,MIA,NYJ,,
21514-43970,RB,Shane,Shane Smith,Smith,0,0,6000,SEA@NYG,NYG,SEA,,
21514-57299,WR,Gerald,Gerald Everett,Everett,4.979999924,5,6000,ARI@LAR,LAR,ARI,,
21514-30678,WR,Damiere,Damiere Byrd,Byrd,3.E-01,4,6000,CAR@CHI,CAR,CHI,IR,Arm
21514-25561,WR,Michael,Michael Campanaro,Campanaro,2.98333327,6,6000,BAL@MIN,BAL,MIN,,
21514-14304,WR,Luke,Luke Stocker,Stocker,1,1,6000,TB@BUF,TB,BUF,,
21514-41954,WR,Victor,Victor Bolden Jr.,Bolden Jr.,0,4,6000,DAL@SF,SF,DAL,,
21514-40932,WR,Pharoh,Pharoh Cooper,Cooper,1.350000064,6,6000,ARI@LAR,LAR,ARI,,
21514-41964,WR,Vince,Vince Mayle,Mayle,3.099999905,2,6000,BAL@MIN,BAL,MIN,,
21514-14317,WR,Julius,Julius Thomas,Thomas,3.359999847,5,6000,NYJ@MIA,MIA,NYJ,,
21514-14319,RB,Taiwan,Taiwan Jones,Jones,0,1,6000,TB@BUF,BUF,TB,,
21514-26610,WR,Paul,Paul Richardson,Richardson,7.959999847,5,6000,SEA@NYG,SEA,NYG,,
21514-31732,WR,Corey,Corey Coleman,Coleman,7.599999905,2,6000,TEN@CLE,CLE,TEN,IR,Hand
21514-48116,WR,Jonnu,Jonnu Smith,Smith,5,5,6000,TEN@CLE,TEN,CLE,,
21514-39930,WR,Reggie,Reggie Davis,Davis,0,0,6000,ATL@NE,ATL,NE,,

